region,age,ageCount,classification
East of England,98,1633,Rural
East of England,99,1088,Rural
East of England,100,1589,Rural
London,0,104232,Urban
London,1,107140,Urban
London,2,105690,Urban
London,3,105260,Urban
London,4,106631,Urban
London,5,106765,Urban
London,6,104130,Urban
London,7,104212,Urban
London,8,107669,Urban
London,9,108720,Urban
London,10,108796,Urban
London,11,108171,Urban
London,12,107533,Urban
London,13,106965,Urban
London,14,103977,Urban
London,15,99849,Urban
London,16,101944,Urban
London,17,100378,Urban
London,18,95561,Urban
London,19,91654,Urban
London,20,94517,Urban
London,21,102988,Urban
London,22,116421,Urban
London,23,131954,Urban
London,24,143305,Urban
London,25,150210,Urban
London,26,154755,Urban
London,27,158102,Urban
London,28,160627,Urban
London,29,162855,Urban
London,30,165073,Urban
London,31,164302,Urban
London,32,163551,Urban
London,33,160923,Urban
London,34,154493,Urban
London,35,153753,Urban
London,36,149864,Urban
London,37,145665,Urban
London,38,143954,Urban
London,39,142471,Urban
London,40,143338,Urban
London,41,140166,Urban
London,42,133275,Urban
London,43,126325,Urban
London,44,124180,Urban
London,45,121883,Urban
London,46,121536,Urban
London,47,117538,Urban
London,48,117321,Urban
London,49,115692,Urban
London,50,118353,Urban
London,51,115639,Urban
London,52,115755,Urban
London,53,113410,Urban
London,54,110636,Urban
London,55,109739,Urban
London,56,106933,Urban
London,57,103125,Urban
London,58,98730,Urban
London,59,93088,Urban
London,60,90757,Urban
London,61,85123,Urban
London,62,80571,Urban
London,63,75837,Urban
London,64,72297,Urban
London,65,67890,Urban
London,66,64024,Urban
London,67,60627,Urban
London,68,58194,Urban
London,69,55608,Urban
London,70,54804,Urban
London,71,53584,Urban
London,72,52820,Urban
London,73,54433,Urban
London,74,53494,Urban
London,75,42142,Urban
London,76,41568,Urban
London,77,38406,Urban
London,78,36308,Urban
London,79,31241,Urban
London,80,30100,Urban
London,81,30759,Urban
London,82,28972,Urban
London,83,26474,Urban
London,84,24359,Urban
London,85,21961,Urban
London,86,19536,Urban
London,87,16974,Urban
London,88,15227,Urban
London,89,13108,Urban
London,90,11469,Urban
London,91,9672,Urban
London,92,7616,Urban
London,93,5878,Urban
London,94,4520,Urban
London,95,3502,Urban
London,96,2656,Urban
London,97,1936,Urban
London,98,1314,Urban
London,99,847,Urban
London,100,1393,Urban
North East,0,24771,Rural
North East,1,25842,Rural
North East,2,26943,Rural
North East,3,27736,Rural
North East,4,29010,Rural
North East,5,29435,Rural
North East,6,28896,Rural
North East,7,29818,Rural
North East,8,31000,Rural
North East,9,31326,Rural
North East,10,31707,Rural
North East,11,31142,Rural
North East,12,30665,Rural
North East,13,30805,Rural
North East,14,30071,Rural
North East,15,28885,Rural
North East,16,28940,Rural
North East,17,28311,Rural
North East,18,30128,Rural
North East,19,33845,Rural
North East,20,33427,Rural
North East,21,33481,Rural
North East,22,32497,Rural
North East,23,31645,Rural
North East,24,31876,Rural
North East,25,31061,Rural
North East,26,31455,Rural
North East,27,31994,Rural
North East,28,32571,Rural
North East,29,33653,Rural
North East,30,34010,Rural
North East,31,32848,Rural
North East,32,33233,Rural
North East,33,34196,Rural
North East,34,33688,Rural
North East,35,33891,Rural
North East,36,33100,Rural
North East,37,32264,Rural
North East,38,32136,Rural
North East,39,32011,Rural
North East,40,32839,Rural
North East,41,32849,Rural
North East,42,30891,Rural
North East,43,27940,Rural
North East,44,27647,Rural
North East,45,29428,Rural
North East,46,29913,Rural
North East,47,30924,Rural
North East,48,32964,Rural
North East,49,35788,Rural
North East,50,36557,Rural
North East,51,35308,Rural
North East,52,36514,Rural
North East,53,36909,Rural
North East,54,38095,Rural
North East,55,38413,Rural
North East,56,39071,Rural
North East,57,38755,Rural
North East,58,38209,Rural
North East,59,37891,Rural
North East,60,36322,Rural
North East,61,35299,Rural
North East,62,35553,Rural
North East,63,34778,Rural
North East,64,33287,Rural
North East,65,31817,Rural
North East,66,30678,Rural
North East,67,30681,Rural
North East,68,29630,Rural
North East,69,28843,Rural
North East,70,28396,Rural
North East,71,28990,Rural
North East,72,29203,Rural
North East,73,31275,Rural
North East,74,30502,Rural
North East,75,22578,Rural
North East,76,23444,Rural
North East,77,20337,Rural
North East,78,18478,Rural
North East,79,16423,Rural
North East,80,15897,Rural
North East,81,15591,Rural
North East,82,15186,Rural
North East,83,14015,Rural
North East,84,12686,Rural
North East,85,11113,Rural
North East,86,9815,Rural
North East,87,8501,Rural
North East,88,7497,Rural
North East,89,6476,Rural
North East,90,5611,Rural
North East,91,4289,Rural
North East,92,3386,Rural
North East,93,2497,Rural
North East,94,2064,Rural
North East,95,1491,Rural
North East,96,1097,Rural
North East,97,703,Rural
North East,98,499,Rural
North East,99,384,Rural
North East,100,485,Rural
North West,0,76480,Rural
North West,1,80509,Rural
North West,2,82037,Rural
North West,3,82536,Rural
North West,4,86091,Rural
North West,5,87428,Rural
North West,6,86640,Rural
North West,7,88010,Rural
North West,8,91081,Rural
North West,9,91915,Rural
North West,10,91891,Rural
North West,11,91360,Rural
North West,12,90857,Rural
North West,13,90306,Rural
North West,14,87993,Rural
North West,15,86628,Rural
North West,16,86894,Rural
North West,17,84535,Rural
North West,18,84158,Rural
North West,19,88738,Rural
North West,20,88668,Rural
North West,21,89666,Rural
North West,22,91306,Rural
North West,23,90673,Rural
North West,24,93385,Rural
North West,25,91001,Rural
North West,26,92912,Rural
North West,27,95553,Rural
North West,28,96990,Rural
North West,29,100367,Rural
North West,30,103495,Rural
North West,31,100717,Rural
North West,32,100714,Rural
North West,33,102659,Rural
North West,34,98353,Rural
North West,35,100151,Rural
North West,36,99222,Rural
North West,37,96305,Rural
North West,38,95601,Rural
North West,39,94338,Rural
North West,40,95666,Rural
North West,41,94653,Rural
North West,42,88263,Rural
North West,43,83082,Rural
North West,44,83141,Rural
North West,45,85285,Rural
North West,46,87672,Rural
North West,47,89695,Rural
North West,48,94684,Rural
North West,49,101027,Rural
North West,50,102695,Rural
North West,51,100786,Rural
North West,52,103593,Rural
North West,53,102536,Rural
North West,54,103911,Rural
North West,55,103450,Rural
North West,56,105577,Rural
North West,57,102707,Rural
North West,58,101852,Rural
North West,59,98921,Rural
North West,60,95486,Rural
North West,61,91146,Rural
North West,62,88140,Rural
North West,63,86587,Rural
North West,64,82363,Rural
North West,65,78290,Rural
North West,66,75712,Rural
North West,67,76577,Rural
North West,68,73539,Rural
North West,69,71831,Rural
North West,70,72721,Rural
North West,71,72957,Rural
North West,72,74687,Rural
North West,73,80655,Rural
North West,74,78510,Rural
North West,75,58109,Rural
North West,76,60178,Rural
North West,77,55530,Rural
North West,78,51598,Rural
North West,79,44407,Rural
North West,80,41559,Rural
North West,81,41727,Rural
North West,82,38755,Rural
North West,83,35931,Rural
North West,84,32213,Rural
North West,85,28910,Rural
North West,86,25176,Rural
North West,87,21431,Rural
North West,88,19006,Rural
North West,89,16552,Rural
North West,90,14218,Rural
North West,91,11363,Rural
North West,92,8958,Rural
North West,93,6798,Rural
North West,94,5536,Rural
North West,95,4010,Rural
North West,96,2938,Rural
North West,97,2018,Rural
North West,98,1385,Rural
North West,99,1032,Rural
North West,100,1495,Rural
South East,0,91706,Rural
South East,1,96385,Rural
South East,2,100143,Rural
South East,3,101912,Rural
South East,4,105156,Rural
South East,5,108090,Rural
South East,6,106790,Rural
South East,7,108258,Rural
South East,8,113408,Rural
South East,9,115700,Rural
South East,10,115756,Rural
South East,11,114474,Rural
South East,12,114058,Rural
South East,13,113808,Rural
South East,14,110897,Rural
South East,15,106944,Rural
South East,16,107508,Rural
South East,17,107066,Rural
South East,18,102339,Rural
South East,19,100189,Rural
South East,20,98322,Rural
South East,21,101876,Rural
South East,22,105643,Rural
South East,23,105818,Rural
South East,24,104809,Rural
South East,25,104807,Rural
South East,26,106819,Rural
South East,27,108416,Rural
South East,28,111283,Rural
South East,29,114681,Rural
South East,30,119181,Rural
South East,31,119140,Rural
South East,32,121048,Rural
South East,33,123176,Rural
South East,34,121019,Rural
South East,35,121689,Rural
South East,36,121089,Rural
South East,37,120654,Rural
South East,38,121589,Rural
South East,39,122705,Rural
South East,40,127052,Rural
South East,41,126291,Rural
South East,42,120404,Rural
South East,43,115207,Rural
South East,44,115433,Rural
South East,45,116380,Rural
South East,46,119957,Rural
South East,47,121794,Rural
South East,48,126621,Rural
South East,49,129965,Rural
South East,50,132075,Rural
South East,51,128428,Rural
South East,52,131428,Rural
South East,53,131682,Rural
South East,54,133488,Rural
South East,55,132352,Rural
South East,56,132671,Rural
South East,57,129522,Rural
South East,58,125644,Rural
South East,59,120904,Rural
South East,60,116874,Rural
South East,61,111027,Rural
South East,62,109395,Rural
South East,63,104955,Rural
South East,64,99904,Rural
South East,65,95884,Rural
South East,66,94199,Rural
South East,67,92752,Rural
South East,68,90289,Rural
South East,69,89148,Rural
South East,70,88715,Rural
South East,71,91276,Rural
South East,72,94063,Rural
South East,73,103581,Rural
South East,74,103915,Rural
South East,75,77687,Rural
South East,76,81074,Rural
South East,77,73974,Rural
South East,78,68017,Rural
South East,79,56935,Rural
South East,80,53168,Rural
South East,81,54459,Rural
South East,82,50970,Rural
South East,83,47401,Rural
South East,84,43374,Rural
South East,85,39217,Rural
South East,86,35254,Rural
South East,87,30954,Rural
South East,88,27858,Rural
South East,89,24665,Rural
South East,90,21564,Rural
South East,91,17316,Rural
South East,92,14245,Rural
South East,93,11128,Rural
South East,94,8968,Rural
South East,95,6613,Rural
South East,96,4887,Rural
South East,97,3547,Rural
South East,98,2587,Rural
South East,99,1880,Rural
South East,100,2695,Rural
South West,0,50998,Rural
South West,1,53275,Rural
South West,2,55420,Rural
